#    object_id           flux              mu            shear.g1         shear.g2       image_pos.x      image_pos.y       halo_mass        halo_conc      halo_redshift   
              88   4.87069664e+01   1.01680519e+00   2.09640785e-02   1.45949909e-02   5.57805457e+03  -1.01500896e+01   7.00000000e+14   4.00000000e+00   2.50000000e-01
              89   4.87069664e+01   1.00759537e+00  -6.54793024e-04   4.30937669e-05   3.15542080e+03   2.21080207e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              90   4.87069664e+01   9.74892152e-01   5.04869998e-03  -2.53350524e-02   2.63955836e+03   8.87986375e+01   7.00000000e+14   4.00000000e+00   2.50000000e-01
              93   4.87069664e+01   1.04480850e+00   2.16193553e-02  -7.05409909e-04   4.58191360e+03   3.89437065e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              94   4.87069664e+01   1.04484140e+00   6.80906562e-03   5.78512412e-03   4.43250396e+03   2.96494097e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              95   4.87069664e+01   1.01576218e+00  -7.72559547e-04  -5.04921039e-04   5.37078898e+03   2.92822216e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              96   4.87069664e+01   1.02840104e+00   1.73794578e-03   9.41190798e-03   2.50684167e+03   4.16816491e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              97   4.87069664e+01   9.92366483e-01  -1.69870002e-02  -6.94226436e-03   5.79732995e+02   3.23287199e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              98   4.87069664e+01   1.03621579e+00  -8.51202462e-03  -3.56042934e-03   8.19776426e+02   3.35346268e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              99   4.87069664e+01   1.02928825e+00   1.89625132e-03   3.31260666e-03   3.88033337e+03   3.42295758e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             101   4.87069664e+01   1.04235395e+00   3.11885571e-03   1.07685650e-02   3.83520311e+03   2.74010133e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             102   4.87069664e+01   1.01601520e+00  -1.61048872e-02  -1.21057842e-02   2.46437612e+02   4.20363565e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             103   4.87069664e+01   1.02850873e+00  -1.27824295e-03   7.21546610e-04   5.03925839e+03   4.41049991e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             105   4.87069664e+01   9.99792045e-01   8.52456453e-03  -9.61710538e-03   2.04267882e+03   9.17993279e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
             106   4.87069664e+01   1.00267519e+00  -1.08031630e-02  -5.31252192e-03   2.97721471e+03   1.58650808e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             107   4.87069664e+01   9.89408182e-01   6.15142987e-03   2.04719913e-03   6.22543309e+03   6.71267010e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
             109   4.87069664e+01   1.02807530e+00  -1.30849538e-02  -1.11418466e-02   6.17011199e+03   3.51684674e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             110   4.87069664e+01   9.97013576e-01  -2.52186040e-02   4.39872750e-03   2.08292620e+03   3.18143077e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             113   4.87069664e+01   9.86744614e-01  -1.67495323e-02   9.46973871e-03   1.18438607e+03   8.86415365e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
             114   4.87069664e+01   1.04035219e+00   9.54498133e-03  -6.07486910e-03   4.33096818e+03   4.30427857e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             115   4.87069664e+01   9.99568389e-01  -6.67216161e-03   1.83191314e-02   6.13659323e+03   4.10391447e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             116   4.87069664e+01   1.06165029e+00   3.58750394e-03   8.84372133e-03   4.05688383e+03   2.16337903e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             117   4.87069664e+01   9.91544292e-01   1.62816276e-02  -1.75141313e-04   4.06142279e+03   5.18904050e+01   7.00000000e+14   4.00000000e+00   2.50000000e-01
             118   4.87069664e+01   1.02564508e+00  -1.02536029e-02   3.57609080e-03   3.22023644e+03   1.94097716e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             119   4.87069664e+01   1.05166880e+00  -5.82217121e-03  -2.40357825e-03   3.98664034e+03   1.97543369e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             121   4.87069664e+01   9.92860577e-01  -1.48315332e-02  -1.10990151e-02   5.61900726e+03   3.61636710e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             122   4.87069664e+01   9.83751070e-01  -4.44302573e-03  -2.14953876e-03   1.18608580e+03   2.19163333e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             123   4.87069664e+01   9.72119015e-01  -1.19234440e-02   4.79492505e-03   1.55100810e+03   2.69195295e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             124   4.87069664e+01   9.99973123e-01  -3.83417186e-03  -1.46287878e-03   3.41083483e+03   5.20995401e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
             126   4.87069664e+01   9.99686575e-01  -7.61307157e-03  -8.88032801e-03   5.42068595e+03   3.23724789e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             127   4.87069664e+01   1.01187782e+00  -5.42208347e-03  -6.40188926e-03   6.16286909e+03   1.03323025e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             128   4.87069664e+01   9.78943893e-01  -1.26739811e-02  -1.18842799e-03   3.69283010e+02   1.74227918e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             130   4.87069664e+01   1.00369565e+00   4.56718229e-06  -8.02076651e-04   3.32863567e+03   2.23091588e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             131   4.87069664e+01   9.73453660e-01  -1.17453672e-03  -5.65406569e-03   6.27734121e+03   2.79913685e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
             132   4.87069664e+01   9.74684697e-01  -4.86322261e-03  -3.17704309e-03   2.50346354e+02   3.11492024e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
